#{"t_start": 1683905792.7183545, "env_id": "AcceleratedCart-v1"}
r,l,t
-11.164039,20,5.045876
-6.741228,20,5.197896
-87.735589,20,5.331987
-31.516066,20,5.495665
-39.660952,20,5.6472
-24.318073,20,5.809574
-36.822176,20,6.667506
-6.617713,20,6.811046
-2.382642,20,6.994416
-36.035654,20,7.169251
-49.839557,20,7.340201
-67.503494,20,7.506421
-28.818415,20,8.150691
-8.161982,20,8.293638
-8.540797,20,8.482542
-18.901467,20,8.633456
-110.610105,20,8.769673
-36.737783,20,8.928677
-9.268491,20,9.571382
-1.22199,20,9.709842
-3.232864,20,9.87828
-5.134744,20,10.013335
-19.758044,20,10.150075
-26.740306,20,10.29215
-46.377065,20,10.455856
-7.471612,20,11.149459
-16.101274,20,11.339316
-3.995281,20,11.475598
-5.061473,20,11.640373
-43.674008,20,11.788188
-18.54349,20,11.930902
-40.413884,20,12.612717
-8.539237,20,12.744406
-14.886587,20,12.90827
-9.08267,20,13.051236
-57.819942,20,13.207531
-33.053204,20,13.362424
-15.876973,20,13.983443
-29.869922,20,14.230206
-41.482283,20,14.38564
-6.127142,20,14.546806
-2.532903,20,14.715722
-36.981989,20,14.874943
-12.978972,20,15.564928
-3.031143,20,15.705915
-6.355045,20,15.874813
-19.809787,20,16.046234
-5.856944,20,16.196891
-64.333251,20,16.340756
-61.944614,20,16.499884
-7.739262,20,17.16107
-3.23526,20,17.321303
-50.652942,20,17.493475
-7.920643,20,17.662884
-49.570241,20,17.821866
-12.266855,20,17.966032
-31.676499,20,18.59023
-2.801451,20,18.73244
-37.735683,20,18.965771
-48.147814,20,19.150198
-9.927687,20,19.279197
-10.686753,20,19.460471
-4.675971,20,20.089195
-7.654542,20,20.237221
-41.215345,20,20.404512
-20.882069,20,20.560631
-9.315035,20,20.71814
-25.072555,20,20.857852
-8.576864,20,21.496025
-23.605461,20,21.669012
-17.036563,20,21.822176
-13.471918,20,21.974272
-8.369312,20,22.110571
-56.219537,20,22.270394
-11.702699,20,22.444837
-11.17075,20,23.11412
-2.223991,20,23.363409
-6.223024,20,23.504761
-3.24689,20,23.655146
-7.922275,20,23.794851
-28.126538,20,23.945726
-5.352386,20,24.602094
-5.439994,20,24.732917
-7.92347,20,24.887316
-7.220865,20,25.045984
-4.185401,20,25.195072
-5.556515,20,25.349098
-2.956645,20,26.021241
-5.801873,20,26.162158
-13.073417,20,26.319171
-14.482744,20,26.466923
-11.023407,20,26.633599
-3.349522,20,26.79367
-8.498123,20,27.452629
-4.284576,20,27.616658
-7.520858,20,27.827001
-2.889491,20,27.97912
-4.075307,20,28.131788
-7.519861,20,28.275142
-13.048476,20,28.426517
-5.362404,20,29.027861
-7.095414,20,29.203118
-4.018686,20,29.344159
-4.417471,20,29.483775
-8.59954,20,29.632543
-3.220879,20,29.787537
-3.740847,20,30.428509
-7.285222,20,30.571564
-18.477579,20,30.730482
-2.858568,20,30.862103
-12.283606,20,31.022296
-8.257512,20,31.179168
-3.464844,20,31.886258
-11.774515,20,32.04073
-2.21376,20,32.235137
-4.344463,20,32.398366
-2.644631,20,32.545187
-1.691365,20,32.700441
-5.184351,20,33.349157
-15.486531,20,33.470382
-2.940479,20,33.692852
-3.767213,20,33.847092
-16.270423,20,34.006149
-2.601482,20,34.162664
-17.903188,20,34.309815
-14.653271,20,34.906144
-5.207771,20,35.065503
-11.290838,20,35.214401
-2.414891,20,35.374341
-3.785489,20,35.538001
-7.094247,20,35.70106
-3.079319,20,36.350944
-3.438308,20,36.471978
-14.60765,20,36.643477
-5.378546,20,36.800854
-7.52636,20,36.950964
-7.940133,20,37.119838
-7.340836,20,37.797622
-7.543824,20,37.93376
-5.363599,20,38.10826
-2.963271,20,38.293278
-5.683462,20,38.455389
-2.274186,20,38.598552
-2.870405,20,39.209079
-3.789324,20,39.344905
-15.439598,20,39.504292
-2.687095,20,39.642484
-6.170928,20,39.784999
-4.381689,20,39.95902
-6.56114,20,40.126188
-11.894587,20,40.810448
-2.637465,20,41.003076
-8.905174,20,41.170951
-1.516468,20,41.344527
-3.643603,20,41.499358
-10.020764,20,41.920585
-1.987874,20,42.605707
-1.479333,20,42.857902
-3.391166,20,43.036316
-7.590934,20,43.176919
-1.474059,20,43.346977
-16.381588,20,43.551122
-11.047512,20,44.209873
-2.400912,20,44.364541
-3.385871,20,44.526537
-4.549567,20,44.69164
-12.069028,20,44.879714
-11.145476,20,45.051594
-17.369504,20,45.751645
-15.974706,20,45.913482
-3.00733,20,46.073584
-1.601405,20,46.277151
-3.607748,20,46.479117
-2.58645,20,46.631617
-3.483933,20,46.797046
-2.851253,20,47.547357
-5.044845,20,47.706817
-19.204524,20,47.867079
-6.179205,20,48.028545
-1.799894,20,48.180865
-1.896866,20,48.330936
-1.313897,20,48.992495
-18.406362,20,49.14171
-3.109836,20,49.295555
-12.468009,20,49.431165
-6.404578,20,49.582442
-6.362969,20,49.728378
-2.860193,20,50.352161
-3.275316,20,50.495012
-2.275432,20,50.630676
-8.589743,20,50.799225
-11.97879,20,50.949831
-3.426494,20,51.100657
-3.874887,20,51.771175
-1.06089,20,51.926073
-2.769249,20,52.135302
-3.068198,20,52.276496
-4.544412,20,52.432942
-3.031033,20,52.648857
-3.244658,20,52.83566
-1.353129,20,53.511831
-3.694353,20,53.655114
-4.283247,20,53.795815
-9.105707,20,53.93681
-13.114898,20,54.072055
-17.112849,20,54.225149
-2.226806,20,54.881482
-1.552978,20,55.024058
-5.993062,20,55.18014
-9.028413,20,55.325417
-3.587193,20,55.482386
-7.309483,20,55.652913
-1.930765,20,56.280697
-2.651659,20,56.412571
-5.106338,20,56.627793
-5.695072,20,56.823183
-15.048857,20,56.965698
-4.42516,20,57.114636
-2.788613,20,57.76426
-8.130516,20,57.891256
-1.620581,20,58.034133
-8.002823,20,58.188243
-2.714584,20,58.350219
-4.226285,20,58.580034
-1.64253,20,58.725202
-1.796392,20,59.316934
-1.625911,20,59.465578
-1.542143,20,59.621485
-2.889914,20,59.768286
-2.685393,20,59.936179
-15.945395,20,60.076069
-2.359708,20,60.697517
-2.149514,20,60.825994
-6.545978,20,60.973093
-2.983896,20,61.126209
-1.354096,20,61.284968
-3.06425,20,61.442549
-1.195936,20,62.076688
-1.683009,20,62.205515
-4.006713,20,62.352586
-14.611044,20,62.509142
-3.177817,20,62.66064
-4.676085,20,62.83093
-2.35583,20,63.487125
-1.545765,20,63.637968
-3.402188,20,63.78872
-0.980775,20,63.946212
-1.915865,20,64.114019
-1.130948,20,64.275847
-1.438228,20,64.424664
-3.189715,20,65.026373
-3.410068,20,65.180213
-1.624044,20,65.324636
-2.410986,20,65.479357
-3.845488,20,65.619983
-1.248627,20,65.748303
-2.237095,20,66.380971
-1.977938,20,66.518673
-3.467452,20,66.686628
-14.1909,20,66.854434
-1.264923,20,66.995388
-2.744992,20,67.13062
-7.750871,20,67.756757
-9.738595,20,67.897151
-1.45466,20,68.063367
-2.931435,20,68.227519
-8.47188,20,68.381748
-10.63552,20,68.519407
-2.632272,20,69.164852
-4.683947,20,69.321579
-2.307775,20,69.478519
-2.929732,20,69.627438
-1.125603,20,69.783042
