#{"t_start": 1684137781.4148526, "env_id": "AcceleratedCart-v1"}
r,l,t
-35.936978,50,1.428548
-90.512307,50,1.622931
-6.692428,50,3.091976
-10.884446,50,3.306073
-83.444004,50,3.514506
-28.268117,50,4.909657
-93.915577,50,5.131389
-2.71095,50,6.543032
-6.344229,50,6.730205
-7.191355,50,6.943028
-8.840969,50,8.41484
-4.084935,50,8.623113
-4.727151,50,10.02825
-44.240975,50,10.325413
-30.386708,50,10.545803
-4.195711,50,11.925329
-15.689659,50,12.139418
-13.314487,50,13.547273
-37.28558,50,13.74379
-31.234305,50,13.954269
-37.469714,50,15.329281
-60.361369,50,15.541095
-32.537872,50,16.920312
-57.302768,50,17.109921
-28.006328,50,17.311761
-30.989867,50,18.748955
-42.320542,50,18.969058
-23.602427,50,20.315107
-42.389518,50,20.573573
-14.620134,50,20.785422
-39.024728,50,22.147125
-62.67298,50,22.369962
-42.562313,50,23.774799
-29.099654,50,23.976552
-31.687764,50,24.25507
-18.261351,50,25.619816
-51.615574,50,25.822658
-25.085277,50,27.216726
-6.126123,50,27.478284
-7.413151,50,27.71286
-30.712463,50,29.074413
-7.038037,50,29.30567
-18.507796,50,30.695705
-3.651951,50,30.894109
-2.969242,50,31.096514
-7.880778,50,32.484274
-28.340908,50,32.713748
-8.296955,50,34.121315
-6.008863,50,34.32665
-14.059626,50,34.534386
-19.065379,50,35.981814
-19.473007,50,36.21003
-16.786568,50,37.728055
-4.245837,50,37.919527
-8.743089,50,38.103765
-33.189004,50,39.442875
-14.988904,50,39.632357
-24.068669,50,40.984031
-4.610764,50,41.153368
-4.045128,50,41.423512
-22.662737,50,42.729235
-2.76282,50,42.956986
-3.054888,50,44.247326
-8.233842,50,44.418314
-2.10231,50,44.629966
-10.343641,50,45.929367
-7.3035,50,46.128635
-4.058652,50,47.510061
-2.850876,50,47.717251
-4.202289,50,47.940192
-22.191332,50,49.326334
-6.265812,50,49.568098
-20.902902,50,51.008838
-14.714672,50,51.212377
-5.574866,50,51.417212
-14.191187,50,52.848271
-2.675036,50,53.057325
-5.835939,50,54.587637
-4.462444,50,54.883585
-3.527468,50,55.176223
-5.630698,50,56.524647
-2.67205,50,56.728177
-2.465259,50,58.056875
-9.836271,50,58.244147
-17.335931,50,58.438998
-11.293266,50,59.881958
-2.95735,50,60.091241
-5.103918,50,61.45515
-4.085158,50,61.621132
-1.994528,50,61.816768
-3.52798,50,63.149781
-4.913572,50,63.433748
-13.983759,50,64.761476
-3.153184,50,65.01635
-3.762542,50,65.231501
-13.530899,50,66.586652
-3.417036,50,66.802075
-8.392712,50,68.113794
-2.267278,50,68.281321
-2.563955,50,68.463314
-3.029425,50,69.855582
-11.215906,50,70.056932
-18.707586,50,71.445839
-2.266655,50,71.667743
-1.973709,50,71.870321
-7.602045,50,73.21815
-13.308802,50,73.416949
-4.469586,50,74.810066
-11.504143,50,75.014626
-2.735746,50,75.238223
-9.688941,50,76.544887
-3.765556,50,76.715398
-2.696312,50,78.046294
-13.074325,50,78.243412
-13.123972,50,78.443505
-3.804816,50,79.770432
-13.311501,50,79.99419
-4.104928,50,81.350886
-8.45662,50,81.525307
-11.595373,50,81.710162
-5.131292,50,83.082457
-3.819817,50,83.343947
-5.753092,50,84.73108
-2.064014,50,84.920897
-14.131078,50,85.10394
-2.506355,50,86.388442
-2.186137,50,86.657301
-2.593358,50,87.974458
-5.207507,50,88.144567
-13.339174,50,88.327935
-13.796735,50,89.623065
-2.274766,50,89.810044
-18.540303,50,91.085944
-2.384698,50,91.261537
-2.37648,50,91.44184
-13.730903,50,92.707346
-9.556102,50,92.912251
-14.497495,50,94.240726
-2.01421,50,94.418108
-2.043838,50,94.595909
-8.10798,50,95.893085
-2.383542,50,96.082898
-3.867062,50,97.390059
-8.461926,50,97.550698
-3.124875,50,97.734115
-16.488562,50,99.026314
-2.39826,50,99.234551
-13.164937,50,100.612592
-7.030329,50,100.894121
-3.329177,50,101.160618
-4.087606,50,102.629134
-8.584193,50,102.829324
-2.680621,50,104.173474
-2.63295,50,104.386319
-8.91482,50,104.680956
-12.441249,50,106.167285
-7.907447,50,106.37822
-2.879969,50,107.730151
-15.328564,50,107.937811
-2.914509,50,108.127869
-4.919205,50,109.488807
-2.044651,50,109.709923
-4.669808,50,111.110819
-2.113157,50,111.301851
-4.754884,50,111.510446
-2.495049,50,112.984888
-14.132729,50,113.179675
-8.996353,50,114.507104
-2.008918,50,114.689284
-5.210956,50,114.871052
-2.791646,50,116.213094
-16.721922,50,116.456292
-4.163933,50,117.877944
-4.436207,50,118.057801
-2.064909,50,118.262742
-3.968049,50,119.62264
-2.299395,50,119.798742
-9.389115,50,121.120995
-18.074017,50,121.348188
-13.996586,50,121.530058
-1.990298,50,122.842548
-5.355226,50,123.023999
-1.953703,50,124.347443
-12.208659,50,124.593457
-4.108535,50,124.894415
-3.17383,50,126.229889
-11.399008,50,126.416918
-17.546448,50,127.719346
-13.722942,50,127.949377
-12.00381,50,128.135133
-12.043154,50,129.454115
-1.909502,50,129.631419
-14.255281,50,130.951741
-6.906159,50,131.124264
-3.27097,50,131.337459
-1.796942,50,132.651316
-3.103175,50,132.835605
-2.149952,50,134.143215
-10.154558,50,134.319771
-2.143195,50,134.493371
-2.931734,50,135.826404
-2.050645,50,136.020596
-2.337173,50,137.316033
-10.487352,50,137.483418
-1.973909,50,137.682369
-2.176255,50,138.986817
-2.604769,50,139.187736
-4.199014,50,140.483252
-2.279755,50,140.693181
-6.473528,50,140.864758
-3.627944,50,142.17837
-2.91447,50,142.373742
-9.824401,50,143.650683
-3.935218,50,143.824445
-2.368833,50,144.032808
-4.108091,50,145.345697
-2.243675,50,145.528283
-8.699374,50,146.811108
-2.274148,50,146.988224
-5.353667,50,147.179736
-3.268527,50,148.480525
-13.882289,50,148.712067
-11.27787,50,150.115083
-8.403103,50,150.300601
-3.449349,50,150.49501
-2.455824,50,151.754643
-2.817458,50,152.023968
-8.607943,50,153.337909
-6.481061,50,153.497568
-15.6799,50,153.681
-2.747262,50,155.049559
-2.346438,50,155.225201
-4.718026,50,156.554209
-13.988507,50,156.77323
-3.649442,50,156.969481
-2.928907,50,158.255924
-2.562687,50,158.450782
-2.131542,50,159.769187
-1.877874,50,159.991778
-3.95371,50,160.18959
-2.870952,50,161.486205
-13.672073,50,161.67323
-2.35697,50,162.924816
-1.953127,50,163.094442
-13.000103,50,163.291333
-7.410873,50,164.562488
-9.601795,50,164.739707
-4.325009,50,165.994465
-1.594877,50,166.170453
-13.314941,50,166.381125
-3.02645,50,167.625429
-4.418986,50,167.811238
-11.622417,50,169.102934
-2.961672,50,169.284395
-14.548072,50,169.477061
-1.618167,50,170.726294
-2.457128,50,170.940141
-17.704936,50,172.253164
-11.783174,50,172.447402
-4.65781,50,172.643505
-2.72199,50,173.912989
-14.274229,50,174.113832
-2.019091,50,175.475394
-6.944612,50,175.679866
-2.146931,50,175.945879
-8.708154,50,177.304314
-6.198147,50,177.529584
-2.517402,50,178.820432
-3.026003,50,179.083699
-7.201422,50,179.292451
-3.079508,50,180.603959
-1.511679,50,180.79157
-1.476057,50,182.128759
-12.931121,50,182.320632
-3.963482,50,182.558513
-3.245573,50,183.862988
-1.983759,50,184.056954
-9.72101,50,185.392576
-14.757825,50,185.571144
-6.240772,50,185.828977
-18.080634,50,187.125681
-1.487009,50,187.324993
-1.60864,50,188.663292
-3.185862,50,188.919807
-2.762415,50,189.104294
-1.641636,50,190.387538
-2.481953,50,190.623212
-5.390802,50,191.973081
-5.619712,50,192.192709
-17.098017,50,192.376413
-5.563001,50,193.754917
-5.166156,50,193.992582
-15.776223,50,195.475932
-8.642301,50,195.755348
-1.523536,50,195.997968
-11.475988,50,197.540545
-1.577058,50,197.751082
-1.552241,50,199.310529
-1.512752,50,199.569677
-16.290946,50,199.798608
-8.896855,50,201.207714
-1.863717,50,201.415747
-6.523116,50,202.861654
-2.198778,50,203.081369
-9.193352,50,203.283513
-3.364811,50,204.739778
-2.852329,50,204.929232
-5.371801,50,206.204846
-17.963998,50,206.374012
-1.444472,50,206.553702
-4.551163,50,207.902323
-1.622614,50,208.08003
-5.954961,50,209.417648
-6.560301,50,209.656321
-2.04547,50,209.87754
-5.725636,50,211.192384
-2.608952,50,211.38753
-16.364994,50,212.722818
-1.411541,50,213.005388
-8.771797,50,213.218435
-11.315778,50,214.558487
-1.392381,50,214.773007
-1.322949,50,216.055418
-6.738535,50,216.223391
-2.651067,50,216.504778
-6.292924,50,217.789911
-19.130205,50,217.979464
-4.522194,50,219.409561
-3.412312,50,219.583385
-1.310074,50,219.769447
-1.383881,50,221.080142
-1.76637,50,221.274884
-2.092269,50,222.536544
-17.720624,50,222.759424
-11.42133,50,222.946516
-8.207851,50,224.231306
-1.177683,50,224.429511
-8.261427,50,225.735458
-5.031243,50,226.005344
-1.455689,50,226.192716
-3.115296,50,227.450366
-5.666236,50,227.630567
-1.245467,50,228.962914
-2.434597,50,229.132225
-2.111248,50,229.341954
-4.236037,50,230.614705
-12.959104,50,230.784897
-12.819596,50,232.11094
-8.307447,50,232.280638
-3.776825,50,232.468904
-6.249557,50,233.72629
-11.390338,50,233.927093
-2.659228,50,235.207155
-5.891517,50,235.371928
-1.425036,50,235.566133
-10.071658,50,236.900082
-5.121665,50,237.089018
-3.463015,50,238.3723
-1.359573,50,238.544055
-3.08943,50,238.752114
-3.020124,50,240.01
-10.67518,50,240.207617
-1.260367,50,241.484674
-10.232873,50,241.683348
-5.321871,50,241.849144
-1.588238,50,243.119528
-3.53369,50,243.323312
-1.731647,50,244.638595
-1.307085,50,244.827236
-5.71344,50,245.029113
-2.373519,50,246.303517
-3.358112,50,246.538072
-18.249852,50,247.7801
-8.349578,50,247.969285
-2.719939,50,248.17246
-15.40314,50,249.437329
-1.31206,50,249.646125
-7.122961,50,250.945216
-11.546049,50,251.10457
-1.085458,50,251.314372
-1.061802,50,252.633258
-4.549159,50,252.84866
-5.421419,50,254.127355
-1.534281,50,254.298234
-0.859382,50,254.491321
-5.141814,50,255.779723
-4.235575,50,255.976901
-6.649186,50,257.216222
-10.293982,50,257.394477
-0.911868,50,257.571228
-2.503147,50,258.90819
-17.3666,50,259.097531
-4.423223,50,260.334391
-0.952416,50,260.510443
-12.006683,50,260.683189
-0.98107,50,261.997247
-3.189077,50,262.170186
-10.522761,50,263.455941
-1.214792,50,263.622426
-7.08631,50,263.816231
-8.598579,50,0.107792
-6.554203,50,0.348144
-0.817,50,2.1278
-3.374283,50,2.388113
-12.412,50,2.666696
-1.842006,50,4.23093
-1.870743,50,4.458929
-5.216863,50,5.920574
-7.696088,50,6.145342
-0.95757,50,6.401613
-1.053052,50,7.906384
-2.64235,50,8.144197
-15.539704,50,9.592783
-3.49317,50,9.812745
-3.220307,50,10.053199
-1.453308,50,11.561204
-1.1322,50,11.816311
-7.150729,50,13.273674
-1.484747,50,13.524482
-1.685163,50,13.773579
-0.784058,50,15.227591
-0.813315,50,15.446468
-5.000959,50,16.893901
-3.748114,50,17.10148
-1.183637,50,17.347544
-0.735922,50,18.769578
-1.820951,50,19.022885
-5.61225,50,20.459961
-1.5895,50,20.681852
-5.043141,50,20.916556
-4.603918,50,22.469125
-4.03697,50,22.685602
-0.76219,50,24.12558
-1.811039,50,24.3687
-3.541293,50,24.610699
-10.559292,50,26.047867
-9.347345,50,26.298985
-7.49607,50,27.703316
-0.782743,50,27.911071
-0.790566,50,28.176217
-2.02712,50,29.621463
-8.3893,50,29.870992
-15.964648,50,31.259738
-7.710498,50,31.494297
-0.964901,50,31.730876
-0.917093,50,33.249722
-14.778707,50,33.485836
-14.927719,50,35.137322
-1.328535,50,35.389529
-6.138206,50,35.652735
-9.340688,50,37.374672
-6.97831,50,37.639497
-5.779385,50,39.33408
-2.162776,50,39.574284
-0.881475,50,39.818343
-2.531934,50,41.440763
-12.94343,50,41.690948
-2.003813,50,43.322107
-6.053604,50,43.573786
-1.613285,50,43.833155
-0.988951,50,45.577597
-11.017378,50,45.805728
-4.618589,50,47.234201
-3.212797,50,47.45649
-14.741296,50,47.670763
-0.655312,50,49.099614
-1.868508,50,49.318507
-4.271321,50,50.762147
-0.802659,50,50.97608
-4.964758,50,51.187206
-10.108515,50,52.536633
-3.189676,50,52.83842
-9.85108,50,54.658148
-1.627262,50,54.861139
-1.264891,50,55.093081
-2.843175,50,56.794695
-5.15625,50,57.023505
-2.545327,50,58.550592
-1.484485,50,58.771801
-8.691235,50,58.984231
-5.713007,50,60.330966
-4.630721,50,60.58171
-6.864644,50,61.934616
-2.635263,50,62.200852
-8.961469,50,62.51268
-1.467921,50,63.844327
-2.467367,50,64.107092
-1.030187,50,65.536392
-5.811055,50,65.805567
-14.911947,50,66.053424
-2.832712,50,67.654938
-1.767247,50,67.89729
-10.254417,50,69.413025
-5.854916,50,69.633877
-2.603046,50,69.853906
-0.826159,50,71.379079
-5.057279,50,71.621052
